Model,Precision,Recall,F1-Score,AUC
DLR-GEP,0.9201327647052566,0.9174311926605505,0.9167277730853786,0.948394495412844
GNN,0.7672582076308785,0.7741935483870968,0.7707078811186492,0.8588709677419355
LR-GA,0.7335983172614517,0.7096774193548387,0.7123202251858222,0.8185483870967741
LR-GP,0.7315452750014961,0.695852534562212,0.7006346631036457,0.8099078341013825
GA,0.6677127762975839,0.6866359447004609,0.6721753520652809,0.804147465437788
LR,0.7259687563400284,0.6820276497695853,0.6857349604731255,0.8012672811059909
GP,0.6765870688451333,0.6728110599078341,0.6742308087643261,0.7955069124423964
GEP,0.6788214691440498,0.6728110599078341,0.6754352494848956,0.7955069124423964
RF,0.7101181748359169,0.6682027649769585,0.6769935791660611,0.7926267281105991
