Algorithm,MSE,RMSE,MAPE
LR-GEP,64.27489697468874,8.017162651130931,0.11158527584713061
GNN,264.61824784512845,16.26709094599057,0.2798698771712782
LR-GA,506.147619844024,22.49772477038565,0.4065087444443382
LR-GP,511.57915999725475,22.61811574816202,0.4215835691984892
GP,555.5367784554734,23.56982771374185,0.43181326082622223
LR,562.0843069874975,23.708317253392266,0.5118115065923766
GA,651.5082156772522,25.524658972790455,0.42196047503175466
GEP,680.621648929843,26.088726471981015,0.4525525760238776
RF,698.0942323575808,26.421472940727224,0.49324561743340845
