date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2022/5/19,35,74,21,3,0.55,126,73
2022/5/20,39,81,19,3,0.56,150,85
2022/5/21,32,72,18,2,0.49,153,81
2022/5/22,30,78,18,3,0.49,154,83
2022/5/23,30,69,16,2,0.46,140,71
2022/5/24,27,62,16,2,0.5,129,66
2022/5/25,4,19,6,2,0.18,90,29
2022/5/26,7,25,13,2,0.2,65,31
2022/5/27,11,37,18,2,0.33,90,43
2022/5/28,25,77,16,4,0.45,157,84
2022/5/29,16,47,9,3,0.33,96,45
2022/5/30,9,27,14,2,0.22,77,31
2022/5/31,17,49,21,3,0.36,102,51
2022/6/1,14,36,19,2,0.33,100,44
2022/6/2,20,53,21,3,0.37,151,78
2022/6/3,34,80,22,5,0.68,172,89
2022/6/4,23,46,9,2,0.45,125,49
2022/6/5,11,30,10,2,0.28,79,37
2022/6/6,2,8,6,2,0.22,81,25
2022/6/7,9,27,12,2,0.4,86,31
2022/6/8,22,49,14,3,0.68,92,48
2022/6/9,24,48,16,2,0.8,77,47
2022/6/10,29,64,14,2,0.73,113,60
2022/6/11,23,55,14,2,0.6,99,51
2022/6/12,17,33,10,2,0.53,99,38
2022/6/13,15,28,12,2,0.44,86,30
2022/6/14,14,28,12,2,0.48,78,36
2022/6/15,21,40,13,2,0.63,94,43
2022/6/16,25,54,16,2,0.6,126,66
2022/6/17,35,73,18,2,0.85,144,78
2022/6/18,34,71,12,2,0.88,161,84
2022/6/19,30,62,10,2,0.8,161,75
2022/6/20,35,75,14,2,0.85,165,85
2022/6/21,59,110,19,3,1.08,159,100
2022/6/22,52,77,16,2,0.92,78,74
2022/6/23,14,19,13,2,0.44,89,41
2022/6/24,4,14,17,2,0.25,85,27
2022/6/25,18,54,23,2,0.4,171,89
2022/6/26,24,56,13,3,0.61,147,58
2022/6/27,25,40,10,2,0.63,97,43
2022/6/28,12,19,9,3,0.44,75,27
2022/6/29,8,14,8,3,0.37,69,22
2022/6/30,13,24,12,2,0.44,80,30
2022/7/1,18,27,9,2,0.58,97,35
2022/7/2,35,51,13,2,0.73,102,57
2022/7/3,23,33,10,3,0.63,103,41
2022/7/4,18,24,11,3,0.58,79,32
2022/7/5,36,49,11,2,0.59,87,56
2022/7/6,8,14,9,2,0.4,75,24
2022/7/7,10,24,17,2,0.38,91,36
2022/7/8,16,40,18,2,0.44,97,45
2022/7/9,10,27,19,2,0.33,63,32
2022/7/10,9,18,11,2,0.36,85,27
2022/7/11,21,37,17,2,0.5,78,37
2022/7/12,14,22,10,3,0.48,79,34
2022/7/13,10,21,15,2,0.52,84,32
2022/7/14,8,22,16,3,0.3,91,35
2022/7/15,9,28,20,2,0.32,92,37
2022/7/16,24,55,19,3,0.61,127,65
2022/7/17,21,41,15,2,0.44,83,45
2022/7/18,7,25,16,2,0.36,88,34
2022/7/19,13,41,20,2,0.4,110,50
2022/7/20,25,55,17,2,0.5,116,59
2022/7/21,19,42,15,2,0.43,131,61
2022/7/22,28,57,20,2,0.51,114,56
2022/7/23,10,20,10,2,0.35,98,31
2022/7/24,23,46,16,2,0.48,117,61
2022/7/25,21,43,14,2,0.45,112,46
2022/7/26,30,49,13,2,0.5,114,52
2022/7/27,18,27,10,2,0.57,87,35
2022/7/28,5,9,9,2,0.35,77,24
2022/7/29,14,26,15,2,0.43,86,34
2022/7/30,35,54,12,3,0.66,107,57
2022/7/31,27,43,13,3,0.5,93,46
2022/8/1,38,58,14,3,0.56,110,63
2022/8/2,41,63,15,2,0.58,107,61
2022/8/3,40,59,12,2,0.51,108,63
2022/8/4,35,56,12,2,0.57,107,55
2022/8/5,16,27,11,2,0.48,109,42
2022/8/6,20,36,17,3,0.55,79,38
2022/8/7,27,38,12,3,0.6,83,43
2022/8/8,8,16,13,2,0.37,56,20
2022/8/9,7,16,13,2,0.37,54,21
2022/8/10,11,24,14,2,0.38,74,33
2022/8/11,18,37,13,3,0.46,93,45
2022/8/12,35,59,13,3,0.62,103,58
2022/8/13,46,65,15,2,0.82,117,66
2022/8/14,28,40,13,2,0.98,60,41
2022/8/15,8,14,12,3,0.55,50,24
2022/8/16,5,13,13,2,0.35,79,26
2022/8/17,26,49,14,2,0.55,94,49
2022/8/18,30,42,14,2,0.65,71,44
2022/8/19,10,14,12,3,0.44,50,26
2022/8/20,10,25,17,2,0.37,74,29
2022/8/21,27,52,15,2,0.49,96,51
2022/8/22,12,16,9,3,0.33,85,29
2022/8/23,3,11,15,2,0.22,39,14
2022/8/24,7,22,15,2,0.28,66,26
2022/8/25,9,24,16,3,0.28,53,29
2022/8/26,6,21,17,3,0.2,38,22
2022/8/27,4,18,16,2,0.16,41,21
2022/8/28,14,38,25,2,0.33,33,38
2022/8/29,18,30,13,3,0.37,56,31
2022/8/30,23,39,19,2,0.44,63,43
2022/8/31,4,12,18,2,0.27,56,20
2022/9/1,8,28,17,2,0.28,70,30
2022/9/2,18,46,20,2,0.44,86,47
2022/9/3,30,59,23,2,0.51,86,54
2022/9/4,34,52,16,2,0.54,94,53
2022/9/5,4,13,13,2,0.2,60,21
2022/9/6,6,23,20,2,0.24,42,26
2022/9/7,8,28,23,2,0.28,57,31
2022/9/8,18,49,29,2,0.39,92,54
2022/9/9,33,72,28,2,0.63,125,76
2022/9/10,45,78,20,2,0.77,145,84
2022/9/11,28,49,14,2,0.58,106,49
2022/9/12,48,78,20,2,0.7,110,74
2022/9/13,56,86,22,2,0.8,103,79
2022/9/14,34,55,17,2,0.64,86,58
2022/9/15,21,46,17,2,0.55,87,49
2022/9/16,25,51,20,2,0.52,95,54
2022/9/17,38,78,26,2,0.64,106,72
2022/9/18,10,29,18,3,0.3,66,32
2022/9/19,5,24,18,3,0.21,52,26
2022/9/20,5,23,15,2,0.15,56,26
2022/9/21,17,52,27,2,0.34,72,49
2022/9/22,17,49,15,2,0.29,63,46
2022/9/23,3,21,11,2,0.17,50,23
2022/9/24,14,44,28,2,0.31,52,41
2022/9/25,43,102,38,3,0.55,84,76
2022/9/26,57,113,40,3,0.77,122,91
2022/9/27,59,112,39,3,0.77,126,97
2022/9/28,58,112,38,3,0.78,120,92
2022/9/29,64,122,37,3,0.83,133,98
2022/9/30,82,143,42,2,0.9,122,116
2022/10/1,69,119,35,2,0.76,76,93
2022/10/2,16,23,12,2,0.44,58,27
2022/10/3,6,10,10,3,0.27,39,16
2022/10/4,2,9,10,3,0.12,47,18
2022/10/5,8,22,18,2,0.18,35,24
2022/10/6,20,44,25,2,0.28,36,43
2022/10/7,49,85,30,2,0.57,44,72
2022/10/8,65,96,29,2,0.57,17,88
2022/10/9,2,8,6,3,0.1,59,19
2022/10/10,3,12,12,2,0.16,53,21
2022/10/11,13,34,27,2,0.32,34,32
2022/10/12,48,89,46,2,0.59,33,72
2022/10/13,86,134,51,2,0.72,42,114
2022/10/14,106,159,50,2,0.74,58,140
2022/10/15,108,157,39,2,0.77,82,142
2022/10/16,8,17,9,2,0.15,53,24
2022/10/17,2,12,11,2,0.16,41,16
2022/10/18,9,29,24,2,0.28,31,29
2022/10/19,36,73,39,3,0.52,33,61
2022/10/20,78,126,51,2,0.66,30,104
2022/10/21,96,144,43,2,0.74,60,127
2022/10/22,22,43,18,2,0.28,53,42
2022/10/23,7,23,23,2,0.26,35,25
2022/10/24,27,63,34,2,0.55,36,55
2022/10/25,86,138,46,4,0.86,49,116
2022/10/26,103,148,40,2,0.72,40,139
