date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2023/8/24,10,16,13,3,0.37,76,24
2023/8/25,14,24,15,3,0.41,72,30
2023/8/26,13,25,15,2,0.43,75,30
2023/8/27,22,37,19,2,0.53,66,39
2023/8/28,11,23,17,2,0.38,63,28
2023/8/29,10,22,16,3,0.29,63,27
2023/8/30,13,30,19,2,0.35,65,32
2023/8/31,20,36,16,2,0.46,73,37
2023/9/1,20,33,17,3,0.54,74,39
2023/9/2,27,49,23,2,0.57,80,47
2023/9/3,28,38,15,2,0.57,100,49
2023/9/4,48,65,20,2,0.68,103,71
2023/9/5,72,92,18,2,0.84,117,99
2023/9/6,62,85,19,3,0.78,111,90
2023/9/7,60,83,16,3,0.71,109,82
2023/9/8,71,92,20,2,0.83,68,96
2023/9/9,16,19,9,3,0.49,86,28
2023/9/10,20,26,11,3,0.56,85,31
2023/9/11,26,36,16,3,0.57,65,43
2023/9/12,5,14,18,2,0.3,60,22
2023/9/13,13,38,23,2,0.44,73,39
2023/9/14,24,51,26,2,0.5,87,53
2023/9/15,30,58,28,2,0.5,101,62
2023/9/16,49,79,28,2,0.64,105,74
2023/9/17,55,80,24,2,0.65,88,75
2023/9/18,20,34,19,2,0.5,88,37
2023/9/19,8,20,23,2,0.33,39,23
2023/9/20,7,21,22,2,0.32,44,24
2023/9/21,16,44,27,2,0.43,65,43
2023/9/22,9,23,18,2,0.32,65,29
2023/9/23,13,32,25,2,0.45,49,33
2023/9/24,21,46,32,2,0.55,36,45
2023/9/25,25,47,27,2,0.53,35,45
2023/9/26,45,72,33,2,0.67,40,64
2023/9/27,32,54,27,2,0.53,43,53
2023/9/28,7,26,29,2,0.3,37,27
2023/9/29,14,43,25,2,0.34,49,42
2023/9/30,4,14,12,3,0.24,54,21
2023/10/1,8,25,20,2,0.25,45,27
2023/10/2,24,55,30,2,0.44,48,49
2023/10/3,33,63,24,2,0.54,67,55
2023/10/4,8,19,17,2,0.3,46,22
2023/10/5,7,22,21,2,0.25,36,22
2023/10/6,14,36,26,2,0.33,32,35
2023/10/7,33,68,33,2,0.53,45,58
2023/10/8,26,47,29,2,0.41,41,43
2023/10/9,6,13,15,2,0.3,53,20
2023/10/10,12,24,24,2,0.42,50,27
2023/10/11,28,54,32,2,0.51,61,50
2023/10/12,67,104,50,2,0.71,30,91
2023/10/13,39,52,29,2,0.52,33,58
2023/10/14,7,16,26,2,0.32,41,22
2023/10/15,8,26,24,2,0.3,40,27
2023/10/16,12,34,22,2,0.4,44,34
2023/10/17,32,69,32,2,0.59,50,59
2023/10/18,15,29,19,2,0.37,50,31
2023/10/19,4,16,13,2,0.22,44,19
2023/10/20,5,19,14,2,0.25,44,23
2023/11/1,128,196,33,2,1.19,59,167
2023/11/2,68,147,17,2,0.79,60,109
2023/11/3,5,37,17,2,0.28,40,34
2023/11/4,23,77,35,2,0.53,23,64
2023/11/5,19,52,23,2,0.48,32,43
2023/11/6,10,49,7,2,0.21,52,43
2023/11/7,20,41,31,2,0.36,25,40
2023/11/8,30,60,37,2,0.48,22,55
2023/11/9,5,17,9,2,0.25,51,24
2023/11/10,5,17,13,2,0.23,40,18
2023/11/11,8,19,16,2,0.23,38,19
2023/11/12,5,16,7,2,0.2,50,17
2023/11/13,20,38,27,2,0.3,33,35
2023/11/14,35,65,45,2,0.53,18,57
2023/11/15,45,87,52,2,0.69,10,69
2023/11/16,6,24,8,2,0.2,55,25
2023/11/17,3,16,6,2,0.22,51,18
2023/11/18,18,44,38,2,0.4,21,40
2023/11/19,25,61,38,2,0.45,23,55
2023/11/20,60,115,63,3,0.77,13,88
2023/11/21,113,177,63,3,0.99,20,150
2023/11/22,81,137,40,2,0.71,35,123
2023/11/23,3,23,5,2,0.21,53,23
2023/11/24,8,25,17,2,0.32,36,25
2023/11/25,29,59,45,3,0.52,10,54
2023/11/26,36,76,50,2,0.69,6,63
2023/11/27,24,55,29,2,0.53,30,46
2023/11/28,9,26,20,2,0.27,43,28
2023/11/29,5,17,5,2,0.21,60,20
2023/11/30,6,19,10,2,0.21,54,20
2023/12/1,17,39,30,2,0.34,35,36
2023/12/2,24,56,41,3,0.49,25,51
2023/12/3,33,66,53,4,0.66,17,56
2023/12/4,58,108,63,4,0.96,9,80
2023/12/5,71,135,70,5,1.13,9,99
2023/12/6,39,165,22,2,0.28,43,107
2023/12/7,88,299,58,4,0.75,11,174
2023/12/8,85,244,71,4,1.1,11,147
2023/12/9,37,115,44,4,0.74,22,83
2023/12/10,28,61,37,7,0.78,16,56
2023/12/11,26,40,27,2,0.57,25,41
2023/12/12,56,70,40,2,0.75,9,76
2023/12/13,78,97,44,2,1.24,9,104
2023/12/14,52,64,30,2,1.02,21,72
2023/12/15,8,18,7,2,0.3,55,19
2023/12/16,6,16,4,3,0.25,59,19
2023/12/17,16,29,22,2,0.39,45,29
2023/12/18,49,68,53,3,0.68,19,69
2023/12/19,23,36,21,2,0.4,50,42
2023/12/20,7,15,7,2,0.3,59,19
2023/12/21,8,21,10,2,0.24,54,22
2023/12/22,16,35,31,2,0.4,36,35
2023/12/23,24,42,30,2,0.48,37,42
2023/12/24,30,51,34,3,0.46,36,49
2023/12/25,45,75,61,2,0.76,17,67
2023/12/26,34,58,46,2,0.61,25,55
2023/12/27,25,45,43,2,0.65,17,45
2023/12/28,43,69,50,2,0.81,15,62
2023/12/29,93,126,68,2,1.13,10,123
2023/12/30,121,152,64,2,1.22,18,163
2023/12/31,11,27,19,2,0.27,53,27
2024/1/1,66,101,53,2,0.77,15,91
2024/1/2,70,99,53,2,0.9,14,95
2024/1/3,16,33,32,2,0.38,38,31
2024/1/4,45,71,44,2,0.66,28,65
2024/1/5,19,44,32,1,0.42,36,41
2024/1/6,6,14,11,2,0.23,47,18
2024/1/7,12,25,23,2,0.32,33,25
2024/1/8,40,68,51,2,0.64,11,61
2024/1/9,30,49,35,2,0.5,29,46
2024/1/10,29,48,42,2,0.53,26,45
2024/1/11,60,98,61,2,0.93,14,81
2024/1/12,75,120,65,3,1.23,12,101
2024/1/13,52,82,47,2,1.01,17,74
2024/1/14,7,20,14,2,0.26,57,24
2024/1/15,17,39,38,2,0.46,28,36
2024/1/16,51,86,55,2,0.73,11,76
2024/1/17,88,131,64,2,0.93,6,117
2024/1/18,75,103,53,3,1,13,101
2024/1/19,44,73,54,3,0.89,12,65
2024/1/20,32,60,40,3,0.72,26,53
2024/1/21,5,16,6,2,0.2,63,20
2024/1/22,6,13,8,2,0.22,61,19
2024/1/23,6,16,10,2,0.22,59,19
2024/1/24,11,27,21,2,0.28,51,27
2024/1/25,13,26,21,2,0.31,52,27
2024/1/26,16,38,19,3,0.33,55,38
2024/1/27,17,37,24,2,0.35,50,36
2024/1/28,28,51,41,3,0.51,33,48
2024/1/29,61,97,49,5,0.96,22,86
2024/1/30,92,124,40,2,1.12,23,122
2024/1/31,43,60,24,2,0.61,46,62
2024/2/1,19,34,20,4,0.39,48,34
2024/2/2,39,62,38,2,0.63,22,58
2024/2/3,54,80,43,3,0.73,23,75
2024/2/4,74,103,45,4,1,23,99
2024/2/5,68,92,34,4,0.83,40,92
2024/2/6,36,48,19,2,0.48,52,51
2024/2/7,17,25,9,2,0.3,73,27
2024/2/8,17,25,11,2,0.3,69,30
2024/2/9,35,47,16,2,0.45,65,51
2024/2/10,27,39,8,2,0.25,72,39
2024/2/11,51,70,20,3,0.44,55,71
2024/2/12,80,110,30,4,0.69,58,107
2024/2/13,109,152,36,4,0.92,73,143
2024/2/14,43,64,18,2,0.48,66,66
2024/2/15,9,18,8,2,0.25,68,26
2024/2/16,43,74,21,2,0.53,52,65
2024/2/17,67,101,30,3,0.69,47,90
2024/2/18,64,89,25,3,0.96,44,88
2024/2/19,7,29,4,2,0.2,72,30
2024/2/20,9,20,7,2,0.27,62,23
2024/2/21,11,21,11,2,0.29,56,21
2024/2/22,5,12,8,2,0.24,65,21
2024/2/23,19,33,28,3,0.53,41,33
2024/2/24,41,60,32,2,0.6,44,58
2024/2/25,27,52,15,2,0.3,57,51
2024/2/26,48,82,26,5,0.72,55,70
2024/2/27,45,90,31,3,0.49,46,71
2024/2/28,45,86,30,2,0.47,43,70
2024/2/29,10,28,7,2,0.25,72,30
2024/3/1,11,34,15,2,0.25,60,34
2024/3/2,28,99,25,2,0.35,48,74
2024/3/3,24,63,23,2,0.44,55,53
2024/3/4,32,60,29,3,0.66,53,54
2024/3/5,54,82,25,2,0.67,55,75
2024/3/6,32,43,23,2,0.41,54,49
2024/3/7,34,52,25,2,0.43,50,55
2024/3/8,7,20,15,2,0.23,64,24
2024/3/9,34,68,39,3,0.46,43,58
2024/3/10,82,136,55,4,0.73,38,110
2024/3/11,51,83,32,2,0.51,55,75
2024/3/12,27,47,19,2,0.35,75,45
2024/3/13,37,72,37,2,0.42,58,61
2024/3/14,35,70,37,2,0.45,64,59
2024/3/15,80,142,37,3,0.64,87,107
2024/3/16,66,142,20,3,0.67,81,115
2024/3/17,7,42,11,2,0.21,78,39
2024/3/18,40,151,28,2,0.38,53,112
2024/3/19,14,104,6,2,0.2,74,79
2024/3/20,14,57,17,2,0.23,63,51
2024/3/21,46,115,46,4,0.5,42,82
2024/3/22,37,80,32,2,0.5,63,63
2024/3/23,51,101,43,5,0.7,64,78
2024/3/24,62,105,35,5,1.05,60,84
2024/3/25,58,72,24,2,0.6,59,79
2024/3/26,81,106,39,2,0.78,23,108
2024/3/27,104,136,45,2,1,18,137
2024/3/28,58,348,14,2,0.28,74,203
2024/3/29,28,147,13,2,0.23,76,98
2024/3/30,14,50,15,2,0.23,77,46
2024/3/31,44,113,35,5,0.74,63,81
2024/4/1,45,109,28,5,0.77,78,80
2024/4/2,48,121,26,4,0.58,93,85
2024/4/3,45,94,27,3,0.53,82,72
2024/4/4,41,89,31,4,0.59,55,70
2024/4/5,41,84,30,3,0.48,72,69
2024/4/6,57,102,32,2,0.5,78,83
2024/4/7,14,48,25,2,0.28,65,44
2024/4/8,27,116,30,3,0.46,62,83
2024/4/9,22,69,21,2,0.43,68,59
2024/4/10,39,69,42,2,0.56,29,62
2024/4/11,80,108,38,2,0.64,60,107
2024/4/12,113,162,43,2,0.83,68,151
2024/4/13,58,93,23,2,0.62,89,81
2024/4/14,42,67,22,2,0.61,52,60
2024/4/15,32,114,12,2,0.28,64,83
2024/4/16,15,65,22,2,0.22,72,56
2024/4/17,42,119,35,3,0.42,87,85
2024/4/18,44,118,31,3,0.57,103,84
2024/4/19,19,77,23,5,0.58,72,64
2024/4/20,16,48,17,2,0.32,71,47
2024/4/21,53,107,28,4,0.66,107,83
2024/4/22,60,106,25,3,0.66,91,84
2024/4/23,8,18,12,2,0.26,62,25
2024/4/24,22,58,27,2,0.36,67,50
2024/4/25,59,127,32,3,0.62,98,93
2024/4/26,70,158,37,2,0.65,88,104
2024/4/27,54,112,27,3,0.78,74,84
2024/4/28,11,26,14,2,0.33,56,26
2024/4/29,13,20,14,2,0.33,41,20
2024/4/30,10,22,21,2,0.29,48,27
2024/5/1,13,43,26,2,0.26,67,42
2024/5/2,28,71,25,3,0.38,97,62
2024/5/3,30,68,21,2,0.37,113,61
2024/5/4,46,88,33,3,0.5,92,69
2024/5/5,63,98,23,2,0.63,85,86
2024/5/6,36,62,21,2,0.4,88,60
2024/5/7,25,59,27,2,0.36,92,54
2024/5/8,35,80,28,2,0.47,114,72
2024/5/9,38,91,22,3,0.52,133,78
2024/5/10,46,140,20,3,0.44,98,106
2024/5/11,39,180,8,3,0.15,83,132
2024/5/12,13,39,18,2,0.21,72,42
2024/5/13,17,57,26,2,0.28,95,53
2024/5/14,21,72,15,2,0.29,90,57
2024/5/15,7,30,9,2,0.15,91,34
2024/5/16,22,68,28,2,0.35,94,59
2024/5/17,33,84,29,3,0.6,146,86
2024/5/18,50,102,21,4,0.95,171,95
2024/5/19,46,77,14,2,0.85,114,64
2024/5/20,13,25,13,2,0.44,95,32
2024/5/21,23,47,21,3,0.52,110,55
2024/5/22,52,89,25,2,0.7,119,83
2024/5/23,47,88,17,2,0.63,107,72
2024/5/24,15,37,16,3,0.46,58,37
2024/5/25,15,23,15,3,0.49,50,25
2024/5/26,9,16,13,2,0.35,62,27
2024/5/27,16,35,22,2,0.23,80,36
2024/5/28,27,54,26,2,0.35,119,67
2024/5/29,30,78,20,3,0.42,142,76
2024/5/30,17,41,18,2,0.36,95,44
2024/5/31,4,13,11,2,0.2,86,28
2024/6/1,11,34,22,2,0.27,91,40
2024/6/2,16,42,22,2,0.35,105,46
2024/6/3,22,52,24,2,0.45,128,65
2024/6/4,29,63,24,4,0.63,140,74
2024/6/5,33,71,26,4,0.63,120,64
2024/6/6,36,73,22,3,0.53,128,74
2024/6/7,28,58,18,2,0.44,82,50
2024/6/8,25,41,16,2,0.48,109,54
2024/6/9,27,43,18,2,0.44,124,61
2024/6/10,29,51,15,3,0.66,139,67
2024/6/11,16,37,23,3,0.46,134,63
2024/6/12,19,52,23,2,0.42,148,73
2024/6/13,27,63,17,2,0.59,154,69
2024/6/14,20,34,13,2,0.48,115,44
2024/6/15,11,25,18,2,0.3,80,36
2024/6/16,23,53,22,3,0.47,115,60
2024/6/17,33,73,18,2,0.47,159,83
2024/6/18,34,75,22,3,0.51,166,90
2024/6/19,44,91,20,3,0.56,167,93
2024/6/20,42,76,16,3,0.65,135,74
2024/6/21,31,51,20,3,0.67,72,50
2024/6/22,45,133,15,3,0.43,85,97
2024/6/23,50,195,13,2,0.2,64,137
2024/6/24,7,19,11,2,0.18,78,29
2024/6/25,12,32,19,2,0.29,110,43
2024/6/26,31,72,17,4,0.68,161,80
2024/6/27,26,74,18,2,0.38,142,71
2024/6/28,28,66,20,3,0.43,160,80
2024/6/29,34,72,15,4,0.67,149,71
2024/6/30,25,37,12,2,0.5,124,55
2024/7/1,14,23,9,3,0.43,107,35
2024/7/2,23,33,13,3,0.45,72,34
2024/7/3,22,32,13,3,0.38,94,37
2024/7/4,40,59,19,2,0.58,115,62
2024/7/5,54,74,16,3,0.66,123,84
2024/7/6,22,31,11,3,0.45,108,45
2024/7/7,19,34,16,2,0.48,102,40
2024/7/8,22,32,11,2,0.49,95,37
2024/7/9,44,59,16,2,0.63,108,64
2024/7/10,50,72,18,2,0.66,131,81
2024/7/11,54,85,20,3,0.75,148,88
2024/7/12,28,44,15,3,0.58,108,45
2024/7/13,36,44,10,3,0.64,106,52
2024/7/14,53,65,12,2,0.92,98,73
2024/7/15,42,56,13,3,0.72,85,59
2024/7/16,28,35,9,3,0.6,99,44
2024/7/17,8,15,15,2,0.3,85,29
2024/7/18,9,24,18,2,0.29,78,32
2024/7/19,20,45,20,2,0.5,122,61
2024/7/20,15,30,12,2,0.4,128,53
2024/7/21,27,49,11,2,0.49,124,50
2024/7/22,15,27,9,3,0.48,121,40
2024/7/23,37,61,12,3,0.71,116,58
2024/7/24,29,46,11,3,0.55,103,48
2024/7/25,12,17,8,3,0.48,82,26
2024/7/26,12,17,9,3,0.49,82,31
2024/7/27,19,28,9,3,0.58,85,37
2024/7/28,14,25,9,3,0.48,82,31
2024/7/29,20,38,13,3,0.48,85,40
2024/7/30,7,11,9,3,0.48,51,19
2024/7/31,14,19,8,3,0.53,78,32
2024/8/1,9,16,11,3,0.47,85,27
2024/8/2,19,34,16,3,0.55,75,34
2024/8/3,19,29,12,3,0.59,77,31
2024/8/4,18,24,9,3,0.55,87,37
2024/8/5,7,12,10,3,0.36,96,30
2024/8/6,19,38,16,3,0.45,103,45
2024/8/7,32,50,16,3,0.58,87,50
2024/8/8,19,33,18,3,0.47,92,43
2024/8/9,31,47,14,3,0.71,86,49
2024/8/10,8,21,9,3,0.55,76,29
2024/8/11,7,19,13,3,0.38,61,27
2024/8/12,1,6,7,3,0.3,57,18
2024/8/13,6,13,8,3,0.37,54,18
2024/8/14,12,24,12,3,0.41,61,27
2024/8/15,24,42,17,3,0.6,75,43
2024/8/16,27,42,19,3,0.63,63,43
2024/8/17,23,34,12,3,0.61,86,38
2024/8/18,14,18,8,3,0.55,94,30
2024/8/19,13,19,9,3,0.54,83,26
2024/8/20,7,12,10,3,0.53,53,18
2024/8/21,8,14,10,3,0.49,65,23
2024/8/22,10,21,14,3,0.43,62,28
2024/8/23,20,38,15,3,0.64,79,42
2024/8/24,13,25,12,3,0.48,87,33
2024/8/25,15,29,15,3,0.48,63,30
2024/8/26,8,13,7,3,0.45,78,26
2024/8/27,8,15,13,2,0.35,57,21
2024/8/28,13,26,17,2,0.42,70,31
2024/8/29,20,37,18,3,0.48,92,43
2024/8/30,28,49,19,2,0.6,109,58
2024/8/31,34,54,15,2,0.7,99,52
2024/9/1,12,20,13,3,0.43,58,28
2024/9/2,3,11,11,3,0.27,64,21
2024/9/3,13,32,18,2,0.4,61,32
2024/9/4,37,62,19,3,0.64,70,58
2024/9/5,9,12,12,3,0.36,51,23
2024/9/6,7,17,18,2,0.39,59,23
2024/9/7,12,21,13,3,0.4,51,22
2024/9/8,17,26,18,3,0.48,32,26
2024/9/9,40,53,21,3,0.93,36,58
2024/9/10,4,9,15,3,0.37,43,17
2024/9/11,6,19,19,3,0.4,27,20
2024/9/12,8,22,20,3,0.39,48,26
2024/9/13,12,30,21,3,0.47,71,33
2024/9/14,7,19,12,3,0.35,52,23
2024/9/15,11,27,20,3,0.4,50,28
2024/9/16,18,38,21,3,0.47,61,40
2024/9/17,12,24,13,3,0.44,60,26
2024/9/18,20,38,14,3,0.71,72,38
2024/9/19,29,53,20,3,0.74,86,53
2024/9/20,16,26,13,3,0.47,46,31
2024/9/21,1,4,9,3,0.24,55,17
2024/9/22,4,11,15,3,0.23,50,18
2024/9/23,15,34,24,2,0.33,55,34
2024/9/24,32,60,28,3,0.49,82,56
2024/9/25,26,35,19,3,0.44,55,43
2024/9/26,19,34,25,3,0.55,42,34
2024/9/27,27,47,27,3,0.58,44,46
2024/9/28,32,54,27,3,0.74,39,52
2024/9/29,49,71,21,3,0.82,58,68
2024/9/30,2,4,13,3,0.35,33,12
2024/10/1,2,7,10,3,0.22,47,15
2024/10/2,6,15,16,2,0.25,37,18
2024/10/3,14,30,21,2,0.35,49,30
2024/10/4,42,71,29,3,0.51,62,63
2024/10/5,59,91,32,3,0.58,73,81
2024/10/6,59,85,31,2,0.62,46,81
2024/10/7,12,18,17,2,0.34,37,24
2024/10/8,11,25,24,2,0.34,40,26
2024/10/9,54,89,43,2,0.6,28,77
2024/10/10,6,14,17,2,0.24,49,22
2024/10/11,24,55,37,2,0.43,31,48
2024/10/12,59,104,38,4,0.74,59,84
2024/10/13,87,128,28,3,1.25,48,116
2024/10/14,90,120,30,3,1.21,44,120
2024/10/15,25,39,21,2,0.47,44,40
2024/10/16,19,45,28,3,0.57,35,45
2024/10/17,33,63,32,3,0.62,19,57
2024/10/18,24,33,18,3,0.55,34,38
2024/10/19,2,7,12,2,0.22,45,17
2024/10/20,14,33,27,3,0.39,24,33
2024/10/21,35,54,30,2,0.48,19,52
2024/10/22,12,21,20,2,0.29,39,26
2024/10/23,21,43,36,2,0.43,20,40
2024/10/24,40,70,39,3,0.55,30,62
2024/10/25,111,151,46,3,0.81,37,148
2024/10/26,154,198,44,3,1.08,28,201
2024/10/27,14,23,22,3,0.32,39,28
2024/10/28,21,45,34,3,0.4,31,40
2024/10/29,66,103,47,3,0.63,32,90
2024/10/30,65,98,42,3,0.82,30,89
2024/10/31,103,144,49,2,0.93,18,136
2024/11/1,99,136,33,2,0.9,37,130
2024/11/2,93,123,35,2,0.94,25,123
2024/11/3,46,65,19,2,0.6,45,71
2024/11/4,3,10,15,2,0.24,38,17
2024/11/5,15,39,34,3,0.42,19,38
2024/11/6,30,60,44,3,0.56,18,52
2024/11/7,68,114,58,4,0.78,16,93
2024/11/8,113,163,57,3,0.86,25,148
2024/11/9,122,160,49,3,0.88,27,161
2024/11/10,93,119,34,3,0.68,35,125
2024/11/11,53,81,38,3,0.85,14,74
2024/11/12,62,97,34,3,0.74,23,84
2024/11/13,60,85,38,3,0.88,11,81
2024/11/14,37,44,33,3,0.82,19,53
2024/11/15,49,68,39,3,0.9,13,70
2024/11/16,19,42,20,3,0.4,45,43
2024/11/17,6,28,18,3,0.23,45,29
2024/11/18,16,42,31,3,0.46,19,41
2024/11/19,34,66,39,3,0.61,12,57
2024/11/20,46,78,40,3,0.65,16,65
2024/11/21,12,23,26,3,0.32,36,25
2024/11/22,11,31,36,3,0.43,25,32
2024/11/23,30,54,29,3,0.6,26,51
2024/11/24,65,98,43,3,0.86,8,88
2024/11/25,30,45,21,3,0.45,38,48
2024/11/26,2,8,4,3,0.2,59,19
2024/11/27,4,16,4,3,0.2,56,19
2024/11/28,5,18,7,3,0.2,51,19
2024/11/29,12,28,28,3,0.31,34,30
2024/11/30,19,45,43,3,0.51,18,43
2024/12/1,27,57,36,4,0.51,25,51
2024/12/2,4,13,10,2,0.24,53,22
2024/12/3,14,36,30,2,0.35,27,36
2024/12/4,16,34,31,3,0.35,32,34
2024/12/5,8,20,15,2,0.25,46,21
2024/12/6,9,22,22,2,0.28,35,24
2024/12/7,6,14,6,2,0.2,54,17
2024/12/8,11,27,26,3,0.34,34,27
2024/12/9,22,46,41,3,0.53,17,44
2024/12/10,20,39,35,3,0.45,25,38
2024/12/11,22,41,32,3,0.48,28,39
2024/12/12,43,76,48,3,0.74,8,64
2024/12/13,10,25,10,3,0.23,51,25
2024/12/14,9,26,17,2,0.28,47,26
2024/12/15,13,35,24,2,0.35,44,34
2024/12/16,15,35,32,3,0.4,35,35
2024/12/17,7,17,13,2,0.26,54,20
2024/12/18,7,17,14,2,0.27,51,22
2024/12/19,24,48,44,3,0.5,18,44
2024/12/20,23,43,26,2,0.4,34,40
2024/12/21,6,17,6,2,0.23,56,19
2024/12/22,13,27,27,2,0.37,38,27
2024/12/23,21,41,39,3,0.55,25,40
2024/12/24,43,75,58,4,0.81,11,66
2024/12/25,35,71,34,2,0.59,35,63
2024/12/26,9,25,14,2,0.25,48,25
2024/12/27,6,18,5,2,0.2,56,19
2024/12/28,13,40,24,3,0.33,40,39
2024/12/29,32,75,53,3,0.6,13,62
2024/12/30,24,88,19,3,0.35,52,65
2024/12/31,22,53,36,3,0.47,32,47
