date,True AQI,Predicted AQI
2024/5/28,76.0,77.52306831311205
2024/5/29,44.0,74.26859149874979
2024/5/30,28.0,48.159384746565486
2024/5/31,40.0,34.88185262105418
2024/6/1,46.0,67.13114869289923
2024/6/2,65.0,56.19075276307978
2024/6/3,74.0,77.49739265957626
2024/6/4,64.0,74.41238117190005
2024/6/5,74.0,66.63313180626318
2024/6/6,50.0,67.72989810156628
2024/6/7,54.0,42.128535381380075
2024/6/8,61.0,58.890796188003215
2024/6/9,67.0,67.9902594167414
2024/6/10,63.0,57.69871588594538
2024/6/11,73.0,77.70465656722808
2024/6/12,69.0,70.21208975137742
2024/6/13,44.0,61.692112709497444
2024/6/14,36.0,43.410923524789084
2024/6/15,60.0,45.88624254197183
2024/6/16,83.0,67.39750859624729
2024/6/17,90.0,81.69514502725855
2024/6/18,93.0,89.79897560690588
2024/6/19,74.0,78.60571848816033
2024/6/20,50.0,56.36351503252182
2024/6/21,97.0,42.30282960202568
2024/6/22,137.0,69.28005563483117
2024/6/23,29.0,89.15706281398917
2024/6/24,43.0,39.88446171380032
2024/6/25,80.0,68.1906779735119
2024/6/26,71.0,74.28938546944161
2024/6/27,80.0,74.48558000599877
2024/6/28,71.0,76.8652848012618
2024/6/29,55.0,55.86541658926798
2024/6/30,35.0,51.656136772487585
2024/7/1,34.0,32.681837599315614
2024/7/2,37.0,35.43867226990431
2024/7/3,62.0,45.257122107775686
2024/7/4,84.0,66.40542475334712
2024/7/5,45.0,65.0218506544237
2024/7/6,40.0,41.99173995682507
2024/7/7,37.0,48.624301622049394
2024/7/8,64.0,31.921672408082586
2024/7/9,81.0,64.46415930459162
2024/7/10,88.0,71.59766862434051
2024/7/11,45.0,75.7814117537583
2024/7/12,52.0,35.00186046642113
2024/7/13,73.0,39.683361297087906
2024/7/14,59.0,51.73125335144821
2024/7/15,44.0,45.342885041538416
2024/7/16,29.0,33.46708109309463
2024/7/17,32.0,43.85793395566574
2024/7/18,61.0,39.09831914136345
2024/7/19,53.0,70.4455809072872
2024/7/20,50.0,51.60611161992909
2024/7/21,40.0,51.090247434239785
2024/7/22,58.0,41.78478656017975
2024/7/23,48.0,49.75401167894144
2024/7/24,26.0,41.803844382300525
2024/7/25,31.0,21.454337135966796
2024/7/26,37.0,34.12675166511809
2024/7/27,31.0,33.94997524875942
2024/7/28,40.0,33.437769672782615
2024/7/29,19.0,43.16262609901773
2024/7/30,32.0,12.456258754564935
2024/7/31,27.0,37.54640202462383
2024/8/1,34.0,37.85031264743418
2024/8/2,31.0,37.54148768906324
2024/8/3,37.0,28.35056434784449
2024/8/4,30.0,37.407193965477454
2024/8/5,45.0,40.89463587693069
2024/8/6,50.0,51.671925789132004
