date,True AQI,Predicted AQI
2024-05-29,76,79.4782740509957
2024-05-30,44,74.35902653767049
2024-05-31,28,59.96176679296055
2024-06-01,40,33.61736773219962
2024-06-02,46,47.16074306629155
2024-06-03,65,46.57791127826149
2024-06-04,74,59.76601689782513
2024-06-05,64,67.85619842896523
2024-06-06,74,51.55164349537718
2024-06-07,50,68.4505826419057
2024-06-08,54,64.21359369071766
2024-06-09,61,59.19380017984638
2024-06-10,67,61.60286569492891
2024-06-11,63,65.62145674108916
2024-06-12,73,54.86918783437892
2024-06-13,69,59.81836754516575
2024-06-14,44,61.23290407370272
2024-06-15,36,51.00194142483738
2024-06-16,60,39.222911341282646
2024-06-17,83,61.951734331956075
2024-06-18,90,74.75557424692813
2024-06-19,93,65.48128907839211
2024-06-20,74,68.66006696533526
2024-06-21,50,46.87660424941996
2024-06-22,97,64.21359369071766
2024-06-23,137,111.85323718608822
2024-06-24,29,124.64978168949123
2024-06-25,43,31.20589400280363
2024-06-26,80,45.69315441012828
2024-06-27,71,91.92571030813616
2024-06-28,80,64.79354721043453
2024-06-29,71,69.62615680036085
2024-06-30,55,64.79354721043453
2024-07-01,35,44.669424613005646
2024-07-02,34,36.337551815726634
2024-07-03,37,48.34893783607757
2024-07-04,62,48.78192993026031
2024-07-05,84,78.6229614490025
2024-07-06,45,65.78247731958109
2024-07-07,40,51.58518609726417
2024-07-08,37,44.39188015369691
2024-07-09,64,51.84261429170026
2024-07-10,81,59.571744930965004
2024-07-11,88,69.00097047398398
2024-07-12,45,60.45457587931209
2024-07-13,52,49.341403359168936
2024-07-14,73,55.95302599558841
2024-07-15,59,97.73540658898091
2024-07-16,44,53.36214445655106
2024-07-17,29,53.20931044981537
2024-07-18,32,31.49601346850831
2024-07-19,61,49.11262669121581
2024-07-20,53,57.945805140455704
2024-07-21,50,44.40490190920143
2024-07-22,40,65.74260851021269
2024-07-23,58,42.73042468550413
2024-07-24,48,58.62638118121995
2024-07-25,26,60.662332807820555
2024-07-26,31,35.65453809273734
2024-07-27,37,49.97967819893868
2024-07-28,31,48.25491645844294
2024-07-29,40,43.36172377048219
2024-07-30,19,44.684794380875566
2024-07-31,32,23.819377003928153
2024-08-01,27,60.69171057223364
2024-08-02,34,33.50882866311814
2024-08-03,31,48.87783142852256
2024-08-04,37,43.58382890212234
2024-08-05,30,48.25491645844294
2024-08-06,45,36.90455550172049
2024-08-07,50,51.432204634823435
2024-08-08,43,66.87767902884649
2024-08-09,49,38.90449462982988
2024-08-10,29,66.72719038343435
2024-08-11,27,26.634366640279435
2024-08-12,18,38.77566767623858
2024-08-13,18,23.102005234507274
2024-08-14,27,27.11628239014504
2024-08-15,43,41.03685731946608
2024-08-16,43,44.68645467193327
2024-08-17,38,46.280242827128596
2024-08-18,30,43.74315337674076
2024-08-19,26,36.99870987710701
2024-08-20,18,33.046168929102066
2024-08-21,23,29.076304698523646
2024-08-22,28,114.93353502128502
2024-08-23,42,53.47389504497147
2024-08-24,33,44.54184549347192
2024-08-25,30,46.631704426191035
2024-08-26,26,38.205892671622514
2024-08-27,21,33.046168929102066
2024-08-28,31,26.72312022242095
2024-08-29,43,51.244821999824396
2024-08-30,58,44.41802304788302
2024-08-31,52,59.193474679082065
2024-09-01,28,55.82697090375919
2024-09-02,21,30.591354269353754
2024-09-03,32,23.35862139148845
2024-09-04,58,60.39478327725948
2024-09-05,23,49.872696590133444
2024-09-06,23,32.50648768627988
2024-09-07,22,41.70485929474626
2024-09-08,26,26.48680863551669
2024-09-09,58,44.35573601095106
2024-09-10,17,58.98511183308528
2024-09-11,20,20.301257193786604
2024-09-12,26,35.939696821259155
2024-09-13,33,41.513215486263796
2024-09-14,23,52.63315976587219
2024-09-15,28,31.692833067952858
2024-09-16,40,53.47389504497147
2024-09-17,26,47.16074306629155
2024-09-18,38,37.930061201919344
2024-09-19,53,55.770327140976946
2024-09-20,31,44.46676319350712
2024-09-21,17,42.030498787890174
2024-09-22,18,22.648798454394797
2024-09-23,34,36.28553714759948
2024-09-24,56,51.3293354109144
2024-09-25,43,53.139217346028744
2024-09-26,34,42.090007582438645
2024-09-27,46,45.02333481497621
2024-09-28,52,50.526288645778024
2024-09-29,68,55.866644226214
2024-09-30,12,73.85029877865516
2024-10-01,15,19.13
2024-10-02,18,32.20467880485528
2024-10-03,30,36.26053714759948
2024-10-04,63,45.828310841151605
2024-10-05,81,75.36561958728284
2024-10-06,81,69.74226785093656
2024-10-07,24,82.71015971634174
2024-10-08,26,37.578598086609865
2024-10-09,77,58.21153019569459
2024-10-10,22,105.81546160383856
2024-10-11,48,27.254738032918127
2024-10-12,84,61.06311331235417
2024-10-13,116,66.10342474950622
2024-10-14,120,103.95286767989869
2024-10-15,40,62.18704810978497
2024-10-16,45,68.79576710729008
2024-10-17,57,50.49805311481625
2024-10-18,38,55.58966187292735
2024-10-19,17,39.40153116694736
2024-10-20,33,28.10888784453682
2024-10-21,52,52.68620590153488
2024-10-22,26,55.37831726004917
2024-10-23,40,35.584236551458126
2024-10-24,62,66.51695891542663
2024-10-25,148,76.61274981100281
2024-10-26,201,154.729077991453
2024-10-27,28,144.86405357142857
2024-10-28,40,48.252811507936514
2024-10-29,90,47.16074306629155
2024-10-30,89,75.13716114634815
2024-10-31,136,56.25243629009567
2024-11-01,130,132.77867851488807
2024-11-02,123,68.00745833333333
2024-11-03,71,79.40188888888888
2024-11-04,17,44.3664979188844
2024-11-05,38,19.972209574738987
2024-11-06,52,44.953347543894914
2024-11-07,93,48.97084802636833
2024-11-08,148,109.84180045133405
2024-11-09,161,117.65580504113962
2024-11-10,125,236.41633333333334
2024-11-11,74,43.28861850649351
2024-11-12,84,48.521154761904754
2024-11-13,81,61.05361448066873
2024-11-14,53,84.83155332441441
2024-11-15,70,50.56451775603818
2024-11-16,43,75.03112432408399
2024-11-17,29,31.625578282792507
2024-11-18,41,32.00237176632019
2024-11-19,57,46.64411158778295
2024-11-20,65,56.165297487833016
2024-11-21,25,51.14114722039874
2024-11-22,32,34.21471060857859
2024-11-23,51,57.71739895405922
2024-11-24,88,51.1924297154684
2024-11-25,48,129.5285993028605
