date,True AQI,Predicted AQI
2024-05-29,76,67.87672776927694
2024-05-30,44,69.49222350329215
2024-05-31,28,47.91793407553706
2024-06-01,40,41.977252604611785
2024-06-02,46,51.74395630282192
2024-06-03,65,53.9717118544189
2024-06-04,74,65.27522517715562
2024-06-05,64,68.48407868967568
2024-06-06,74,60.92053813896065
2024-06-07,50,68.61685850455109
2024-06-08,54,52.00460703538971
2024-06-09,61,57.738731479133975
2024-06-10,67,61.66557777141783
2024-06-11,63,64.55723239739183
2024-06-12,73,61.21314462140485
2024-06-13,69,68.11278609774286
2024-06-14,44,64.23757906225426
2024-06-15,36,48.8473927796649
2024-06-16,60,47.072070378080895
2024-06-17,83,63.41876221749146
2024-06-18,90,74.87964775920545
2024-06-19,93,76.28367756885663
2024-06-20,74,77.26477552977971
2024-06-21,50,64.76624387316437
2024-06-22,97,52.00460703538971
2024-06-23,137,85.12337701153044
2024-06-24,29,104.356814579732
2024-06-25,43,30.265582042882816
2024-06-26,80,53.521733152997435
2024-06-27,71,75.22634794703642
2024-06-28,80,64.5818248014937
2024-06-29,71,71.50851313052509
2024-06-30,55,64.5818248014937
2024-07-01,35,55.58720758843412
2024-07-02,34,44.97464019276781
2024-07-03,37,46.99338426859225
2024-07-04,62,49.036720748518576
2024-07-05,84,64.55968684598334
2024-07-06,45,75.2509403511383
2024-07-07,40,47.49254777821747
2024-07-08,37,49.48669944994005
2024-07-09,64,48.24004185926616
2024-07-10,81,65.83339128935062
2024-07-11,88,73.07482405633655
2024-07-12,45,75.27553275524016
2024-07-13,52,46.96142851871585
2024-07-14,73,57.12892611014371
2024-07-15,59,69.5733640613723
2024-07-16,44,57.86905684541786
2024-07-17,29,50.17519092841894
2024-07-18,32,42.614104826295424
2024-07-19,61,46.516358714477406
2024-07-20,53,64.58673369867672
2024-07-21,50,55.64130129382089
2024-07-22,40,54.7929831477732
2024-07-23,58,48.82280037556302
2024-07-24,48,61.613938514622575
2024-07-25,26,52.8553796300289
2024-07-26,31,40.17242890174289
2024-07-27,37,46.27784593741998
2024-07-28,31,49.43506019314479
2024-07-29,40,44.81726797379053
2024-07-30,19,51.34561685819571
2024-07-31,32,36.77670186896065
2024-08-01,27,47.84415686323145
2024-08-02,34,42.933758161433
2024-08-03,31,48.055622787595496
2024-08-04,37,45.215607418416745
2024-08-05,30,49.43506019314479
2024-08-06,45,44.180415752106896
2024-08-07,50,54.66265778148931
2024-08-08,43,55.85522166677644
