date,True AQI,Predicted AQI
2024/5/28,76.0,71.63032726334903
2024/5/29,44.0,68.93271720777096
2024/5/30,28.0,45.86954087183111
2024/5/31,40.0,40.423713359149424
2024/6/1,46.0,65.14681553048702
2024/6/2,65.0,53.74257718845114
2024/6/3,74.0,72.99379839078719
2024/6/4,64.0,69.86257145505535
2024/6/5,74.0,67.23916557478206
2024/6/6,50.0,76.34667090781863
2024/6/7,54.0,43.635382553882714
2024/6/8,61.0,64.87240471828241
2024/6/9,67.0,65.2036248944869
2024/6/10,63.0,49.66635854909311
2024/6/11,73.0,75.44173547227547
2024/6/12,69.0,67.06002062427731
2024/6/13,44.0,59.34171809629256
2024/6/14,36.0,44.80350360475104
2024/6/15,60.0,45.68249518109169
2024/6/16,83.0,67.6437287480803
2024/6/17,90.0,80.03586146572925
2024/6/18,93.0,86.70210792112015
2024/6/19,74.0,80.98382546613239
2024/6/20,50.0,59.26251367061812
2024/6/21,97.0,45.87528742123216
2024/6/22,137.0,84.51260601273982
2024/6/23,29.0,97.93716107781768
2024/6/24,43.0,48.64607619201504
2024/6/25,80.0,61.87240799190778
2024/6/26,71.0,68.93545952572138
2024/6/27,80.0,75.7203252717661
2024/6/28,71.0,82.26697531347618
2024/6/29,55.0,52.419249794799114
2024/6/30,35.0,58.69492844856615
2024/7/1,34.0,35.68536422094723
2024/7/2,37.0,41.39391947332257
2024/7/3,62.0,52.626983747410875
2024/7/4,84.0,67.9372543953793
2024/7/5,45.0,70.99057763295434
2024/7/6,40.0,35.62532715781102
2024/7/7,37.0,51.26871582370909
2024/7/8,64.0,36.647929217615626
2024/7/9,81.0,70.7919241807349
2024/7/10,88.0,70.75951822748786
2024/7/11,45.0,74.9356591143672
2024/7/12,52.0,31.59613241326273
2024/7/13,73.0,50.61493654341108
2024/7/14,59.0,54.497128975454274
2024/7/15,44.0,52.82199121863677
2024/7/16,29.0,32.77370580658478
2024/7/17,32.0,41.484962512879584
2024/7/18,61.0,38.50579029969926
2024/7/19,53.0,66.2546531390788
2024/7/20,50.0,46.731923925323144
2024/7/21,40.0,52.0792825772329
2024/7/22,58.0,39.83331179922288
2024/7/23,48.0,56.35359232634446
2024/7/24,26.0,48.27273652152498
2024/7/25,31.0,19.62729878720414
2024/7/26,37.0,37.57796191520297
2024/7/27,31.0,35.39168453619136
2024/7/28,40.0,35.33542361403092
2024/7/29,19.0,47.3682855672764
2024/7/30,32.0,7.731857211497479
2024/7/31,27.0,43.899909846624816
2024/8/1,34.0,34.04262367523056
2024/8/2,31.0,38.60424173029388
