date,True AQI,Predicted AQI
2024-05-29,76,67.08069838220534
2024-05-30,44,76.41638356809001
2024-05-31,28,44.66197806396574
2024-06-01,40,28.62260621098982
2024-06-02,46,40.258213790606085
2024-06-03,65,46.3949863264779
2024-06-04,74,65.28477405632582
2024-06-05,64,74.41391108935483
2024-06-06,74,64.53633684089212
2024-06-07,50,74.40578287443857
2024-06-08,54,50.61912054650567
2024-06-09,61,54.43278780891124
2024-06-10,67,61.413240594640975
2024-06-11,63,67.42998892070801
2024-06-12,73,63.501261763684134
2024-06-13,69,73.40433976418828
2024-06-14,44,69.50091104786071
2024-06-15,36,44.634286131513576
2024-06-16,60,36.54319253908606
2024-06-17,83,60.16554260116166
2024-06-18,90,83.30497464751771
2024-06-19,93,90.44243059805433
2024-06-20,74,93.46612089750144
2024-06-21,50,74.57068219306893
2024-06-22,97,50.61912054650567
2024-06-23,137,97.05695811959764
2024-06-24,29,137.30132893085394
2024-06-25,43,29.831655951598563
2024-06-26,80,43.23633986879356
2024-06-27,71,80.08721837280092
2024-06-28,80,71.52792177302693
2024-06-29,71,80.42091176453226
2024-06-30,55,71.52792177302693
2024-07-01,35,55.574968731100064
2024-07-02,34,35.629367409214034
2024-07-03,37,34.46774923220203
2024-07-04,62,37.41557597755236
2024-07-05,84,62.162658531523384
2024-07-06,45,84.31820277381519
2024-07-07,40,45.6827769195666
2024-07-08,37,40.51304914329453
2024-07-09,64,37.493216851052594
2024-07-10,81,64.13906900577585
2024-07-11,88,81.35794347534957
2024-07-12,45,88.44108695900948
2024-07-13,52,45.694248647560364
2024-07-14,73,52.39656397455001
2024-07-15,59,73.29235701679737
2024-07-16,44,59.56085010358141
2024-07-17,29,44.58336541713815
2024-07-18,32,29.61267950934339
2024-07-19,61,32.40163025075984
2024-07-20,53,61.0562325746816
2024-07-21,50,53.53035796971083
2024-07-22,40,50.49413966858347
2024-07-23,58,40.55515086070472
2024-07-24,48,58.264012207698585
2024-07-25,26,48.54715577396967
2024-07-26,31,26.666798799126667
2024-07-27,37,31.357212127486857
2024-07-28,31,37.365555877324844
2024-07-29,40,31.52829587791527
2024-07-30,19,40.32336654804644
2024-07-31,32,19.689677393824375
2024-08-01,27,32.123396124817475
2024-08-02,34,27.519528259562833
2024-08-03,31,34.33009013226853
2024-08-04,37,31.49255253116295
2024-08-05,30,37.365555877324844
2024-08-06,45,30.540090610825303
2024-08-07,50,45.23044334611396
2024-08-08,43,50.41597817510672
2024-08-09,49,43.52893021634495
2024-08-10,29,49.40207072210712
2024-08-11,27,29.64551161980817
2024-08-12,18,27.476762142861705
2024-08-13,18,18.588191166895697
2024-08-14,27,18.416280768395932
2024-08-15,43,27.199298316717016
2024-08-16,43,43.18490787552234
2024-08-17,38,43.46300984518041
2024-08-18,30,38.51379242619601
2024-08-19,26,30.5504485505284
2024-08-20,18,26.506490501864327
2024-08-21,23,18.574923794950966
2024-08-22,28,23.295735094277777
2024-08-23,42,28.339129551718255
2024-08-24,33,42.22709520563681
2024-08-25,30,33.5557792409197
2024-08-26,26,30.492418283059376
2024-08-27,21,26.506490501864327
2024-08-28,31,21.52468277293008
2024-08-29,43,31.220743457672185
2024-08-30,58,43.28117720650633
2024-08-31,52,58.310662002848815
2024-09-01,28,52.51700067521283
2024-09-02,21,28.67059689166899
2024-09-03,32,21.55383980573153
2024-09-04,58,32.20004621706518
2024-09-05,23,58.09711164660338
2024-09-06,23,23.735624846840427
2024-09-07,22,23.433693622617753
2024-09-08,26,22.452606412161725
2024-09-09,58,26.35178017692838
2024-09-10,17,57.905040020542366
2024-09-11,20,17.780857193331816
2024-09-12,26,20.335048335558085
2024-09-13,33,26.293950532413863
2024-09-14,23,33.323717940794154
2024-09-15,28,23.584929255658267
2024-09-16,40,28.339129551718255
2024-09-17,26,40.258213790606085
2024-09-18,38,26.613276213578175
2024-09-19,53,38.23998242763808
2024-09-20,31,53.286271232686275
2024-09-21,17,31.650838859869598
2024-09-22,18,17.64681727991195
2024-09-23,34,18.386070254026503
2024-09-24,56,34.03053368618422
2024-09-25,43,56.17181659848822
2024-09-26,34,43.57236239251249
2024-09-27,46,34.55441847068431
2024-09-28,52,46.300111045887625
2024-09-29,68,52.40823484347589
2024-09-30,12,68.33438370694063
2024-10-01,15,12.835732349306802
2024-10-02,18,15.268593619091032
2024-10-03,30,18.31371900536368
2024-10-04,63,30.126970650153268
2024-10-05,81,62.96892458344701
2024-10-06,81,81.34880105036721
2024-10-07,24,81.47891048319731
2024-10-08,26,24.786901680706592
2024-10-09,77,26.400049213437995
2024-10-10,22,76.58684450866144
2024-10-11,48,22.790557102016102
2024-10-12,84,47.91695318639551
2024-10-13,116,84.13883074800347
2024-10-14,120,116.31280752584524
2024-10-15,40,120.46924979292544
2024-10-16,45,40.776786097256895
2024-10-17,57,45.40590083272782
2024-10-18,38,57.34802846607725
2024-10-19,17,38.61706803104835
2024-10-20,33,17.69976555119554
2024-10-21,52,33.003404581380444
2024-10-22,26,52.20166878733408
2024-10-23,40,26.687407506826062
2024-10-24,62,40.20648820798411
2024-10-25,148,62.220354155069195
2024-10-26,201,147.86674947279462
2024-10-27,28,201.3301718027457
2024-10-28,40,28.86693863421059
2024-10-29,90,40.258213790606085
2024-10-30,89,89.91474769338161
2024-10-31,136,89.48557774259407
2024-11-01,130,136.24935017130846
2024-11-02,123,130.50553509894954
2024-11-03,71,123.50929926209413
2024-11-04,17,71.67025681013433
2024-11-05,38,17.809134710119807
2024-11-06,52,37.87584901057051
2024-11-07,93,52.29775721245969
2024-11-08,148,93.12425022808904
2024-11-09,161,148.22231719518288
2024-11-10,125,161.44859238869478
2024-11-11,74,125.58586069764873
2024-11-12,84,74.6639843521387
2024-11-13,81,84.4180743580177
2024-11-14,53,81.49518685250115
2024-11-15,70,53.6302045365698
2024-11-16,43,70.32919296818734
2024-11-17,29,43.64483031534663
2024-11-18,41,29.605200988624865
2024-11-19,57,41.26639268028747
2024-11-20,65,57.290966635795776
2024-11-21,25,65.40996248341763
2024-11-22,32,25.743650216595057
2024-11-23,51,32.31683980519325
2024-11-24,88,51.19249613145515
2024-11-25,48,88.15124794617726
2024-11-26,19,48.6793251235121
2024-11-27,19,19.73051877277691
2024-11-28,19,19.420490029760565
2024-11-29,30,19.420490029760565
2024-11-30,43,30.169102964056872
2024-12-01,51,43.25950097171753
2024-12-02,22,51.38175767641258
2024-12-03,36,22.71683512363839
2024-12-04,34,36.15413170718293
2024-12-05,21,34.48067803681535
2024-12-06,24,21.620846524326435
2024-12-07,17,24.365623992299767
2024-12-08,27,17.56322992707367
2024-12-09,44,27.156471113850746
2024-12-10,38,44.16877650593859
2024-12-11,39,38.52333910510224
2024-12-12,64,39.44707488948941
2024-12-13,25,64.17971766118855
2024-12-14,26,25.740658281013413
2024-12-15,34,26.421310004606053
2024-12-16,35,34.30697084300043
2024-12-17,20,35.44123483664151
2024-12-18,22,20.642257973394084
2024-12-19,44,22.380838156118458
2024-12-20,40,43.99601271890155
2024-12-21,19,40.503485666636216
2024-12-22,27,19.689677393824375
2024-12-23,40,27.23766318230933
2024-12-24,66,40.23330197639606
2024-12-25,63,66.17669609789685
2024-12-26,25,63.49469866446827
2024-12-27,19,25.73757165670921
2024-12-28,39,19.543191595409077
2024-12-29,62,38.963422069408026
2024-12-30,65,62.202103579894214
2024-12-31,47,65.45222792998437
